Name,Rating
Homeward Bound: The Incredible Journey, 2
The Princess Diaries, 2
Schindler's List, 5
Hellboy, 2
Ghost Rider, 2
This Is Spinal Tap, 1
UHF, 3
Of Mice and Men, 3
Duel, 4
Fast & Furious 6, 1
21 Jump Street, 2
Planes, 2
The Amazing Spider-Man, 3
Little Miss Sunshine, 3
Dredd, 5
Yes Man, 3
The World's End, 1
Easy A, 2
Man of Steel, 2
Kick Ass 2, 3
Grudge Match, 1
Harold and Kumar Go To White Castle, 5
Road To Perdition, 6
Trainspotting, 4
Kill Bill Vol.1, 3
Catch Me If You Can, 5
The Internship, 2
Life of Pi, 5
Rise Of The Planet Of The Apes, 2
The Purge, 1
Shutter Island, 4
Interstellar, 6
Robocop, 2
Pain & Gain, 2
Kill Bill Vol.2, 3
The Secret Life Of Walter Mitty, 1
300: Rise of an Empire, 2
The Amazing Spider-Man 2, 3
The Lego Movie, 4
Harold & Kumar Escape From Guantanamo Bay, 5
Neighbors, 3
Good Will Hunting, 3
A Million Ways To Die In The West, 1
Boyhood, 5
Warrior, 3
Star Wars Episode I The Phantom Menace, 2
Frozen, 1
22 Jump Street, 2
The Green Mile, 5
Star Wars Episode II Attack Of The Clones, 3
Dumb & Dumber, 1
Inception, 2
Misery, 5
Indiana Jones: Raiders Of The Lost Ark, 2
The Dark Knight, 4
The Dark Knight Rises, 2
We're The Millers, 3
The Interview, 3
Manny, 3
The Fault In Our Stars, 3
Star Wars Episode III Revenge Of The Sith, 3
12 Years A Slave, 2
Pineapple Express, 2
Donnie Darko, 5
Focus, 1
Meet The Parents, 5
Meet The Fockers, 5
American Sniper, 3
Big Hero 6, 2
The Place Beyond The Pines, 2
The Edge Of Tomorow, 2
Star Trek, 1
Fast & Furious 7, 1
Fast & Furious 8, 1
The Bourne Identity, 3
Champs, 3
The Lord Of The Rings: The Fellowship Of The Ring, 2
Angels And Demons, 1
Mad Max: Fury Road, 3
San Andreas, 1
Wall Street, 3
Wall Street: Money Never Sleeps, 2
The Theory Of Everything, 3
In Time, 3
Jurassic World, 2
Sinister, 3
Law Abiding Citizen, 3
Ratatouille, 3
Minions, 2
Ted 2, 2
Funny People, 2
Horrible Bosses, 3
Pacific Rim, 1
Horrible Bosses 2, 3
True Grit, 2
Looper, 3
Drive, 3
Non-Stop, 3
The Lord Of The Rings: The Two Towers, 1
Zombieland, 3
Disturbia, 2
Hector And The Search For Happiness, 1
Cheap Thrills, 2
We Are Your Friends, 2
Unfriended, 3
Dallas Buyers Club, 2
The Thing, 2
Sin City 2, 3
Inglorious Basterds, 3
